pbx_0042|If your savings account is paying you 4% and inflation is running at three and a half,|If your savings account is paying you 4 percent and inflation is running at three and a half,
pbx_0043|And that math gets worse every year in the money.|And that math gets worse every year in the money.
pbx_0044|but don't let another four-year cycle go by without at least understanding.|but don't let another four-year cycle go by without at least understanding.
pbx_0045|But don't let another four-year cycle go by.|But don't let another four-year cycle go by.
pbx_0046|without at least understanding what you're opting out of.|without at least understanding what you're opting out of.
pbx_0047|There's a narrative going around right now that Bitcoin is becoming institutionalized.|There's a narrative going around right now that Bitcoin is becoming institutionalized.
pbx_0048|BlackRock can buy a billion dollars of Bitcoin.|BlackRock can buy a billion dollars of Bitcoin.
pbx_0049|That does not give them a vote on the protocol.|That does not give them a vote on the protocol.
pbx_0050|That doesn't give them the ability to freeze your wallet or censor your transactions.|That doesn't give them the ability to freeze your wallet or censor your transactions.
pbx_0051|Robert Breedlove has been making the philosophical...|Robert Breedlove has been making the philosophical...
pbx_0052|Robert Breedlove has been making the philosophical case for Bitcoin sovereignty for years.|Robert Breedlove has been making the philosophical case for Bitcoin sovereignty for years.
pbx_0053|This clip is the clearest version of the argument I've seen.|This clip is the clearest version of the argument I've seen.
pbx_0054|Robert Breedlove has been making the philosophical case for Bitcoin sovereignty for years.|Robert Breedlove has been making the philosophical case for Bitcoin sovereignty for years.
pbx_0055|This clip is the clearest version of the argument I've seen.|This clip is the clearest version of the argument I've seen.
pbx_0056|what institutions buying Bitcoin does.|what institutions buying Bitcoin does.
pbx_0057|Your job isn't to wait for perfect conditions.|Your job isn't to wait for perfect conditions.
pbx_0058|Your job isn't to wait for perfect conditions.|Your job isn't to wait for perfect conditions.
pbx_0059|and not get shaken out by the volatility.|and not get shaken out by the volatility.
pbx_0060|that these very institutions are about to introduce to the market.|that these very institutions are about to introduce to the market.
pbx_0061|And this is one of his better takes on the sovereignty question.|And this is one of his better takes on the sovereignty question.
pbx_0062|He's been consistent on this since day one.|He's been consistent on this since day one.
pbx_0063|The mainstream narrative is confused.|The mainstream narrative is confused.
pbx_0064|And the people who've been wrong about Bitcoin for 15 years are still getting airtime.|And the people who've been wrong about Bitcoin for 15 years are still getting airtime.
pbx_0065|The orange coin doesn't care about your feelings about BlackRock.|The orange coin doesn't care about your feelings about BlackRock.
pbx_0066|We talk about Bitcoin adoption like it's this.|We talk about Bitcoin adoption like it's this.
pbx_0067|Your 401k provider probably has Bitcoin ETFs.|Your 401k provider probably has Bitcoin ETFs.
pbx_0068|Your bank is probably building custody infrastructure.|Your bank is probably building custody infrastructure.
pbx_0069|They come back six months later, and they're running nodes.|They come back six months later, and they're running nodes.
pbx_0070|The conversation happens fast once it clicks.|The conversation happens fast once it clicks.
pbx_0071|The conversion happens fast once it clicks.|The conversion happens fast once it clicks.
pbx_0072|The conversion happens fast once it clicks.|The conversion happens fast once it clicks.
pbx_0073|And I think what clicks for most people isn't the price.|And I think what clicks for most people isn't the price.
pbx_0074|It's the realization that the system they trusted|It's the realization that the system they trusted
pbx_0075|the whole financial infrastructure they grew up believing in.|the whole financial infrastructure they grew up believing in.
pbx_0076|It was designed to benefit people who already had access to it.|It was designed to benefit people who already had access to it.
pbx_0077|The Bitcoin layer has been doing deep dives on Lightning that are genuinely technically rigorous.|The Bitcoin layer has been doing deep dives on Lightning that are genuinely technically rigorous.
pbx_0078|The infrastructure build-out happening at the second layer right now.|The infrastructure build-out happening at the second layer right now.
pbx_0079|Natalie Brunel has been covering this story closer than anyone.|Natalie Brunel has been covering this story closer than anyone.
pbx_0080|This is why we build the show around creators like this.|This is why we build the show around creators like this.
pbx_0081|Bitcoin is the first monetary system in history that's open to literally anyone with a smartphone and an internet connection.|Bitcoin is the first monetary system in history that's open to literally anyone with a smartphone and an internet connection.
pbx_0082|A 16-year-old in Nigeria has the same access to Bitcoin Network as a hedge fund.|A 16-year-old in Nigeria has the same access to Bitcoin Network as a hedge fund.
pbx_0083|A 16-year-old in Nigeria has the same access to the Bitcoin network.|A 16-year-old in Nigeria has the same access to the Bitcoin network.
pbx_0084|That's the most important financial innovation in a century.|That's the most important financial innovation in a century.
pbx_0085|This is the case that doesn't get enough attention.|This is the case that doesn't get enough attention.
pbx_0086|And this one connects directly to what we just heard.|And this one connects directly to what we just heard.
pbx_0087|This next clip comes from a different part of the ecosystem.|This next clip comes from a different part of the ecosystem.
pbx_0088|Let's zoom out for a second before we get into this next one.|Let's zoom out for a second before we get into this next one.
pbx_0089|This is the kind of analysis you won't find on mainstream financial media.|This is the kind of analysis you won't find on mainstream financial media.
pbx_0090|What you're about to hear is either very bullish,|What you're about to hear is either very bullish,
pbx_0091|depending on how much you understand about monetary history.|depending on how much you understand about monetary history.
pbx_0092|This is the part of the conversation mainstream finance doesn't want you to have.|This is the part of the conversation mainstream finance doesn't want you to have.
pbx_0093|Most people heard that and missed the most important sentence.|Most people heard that and missed the most important sentence.
pbx_0094|Most people heard that and missed the most important sentence.|Most people heard that and missed the most important sentence.
pbx_0095|That's on-chain data. Verifiable.|That's on-chain data. Verifiable.
pbx_0096|And the mainstream press is still not covering it.|And the mainstream press is still not covering it.
pbx_0097|And the mainstream press is still not covering it.|And the mainstream press is still not covering it.
pbx_0098|That's going to look very different in 18 months.|That's going to look very different in 18 months.
pbx_0099|The irony of that statement coming from a central banker is|The irony of that statement coming from a central banker is
pbx_0100|bold prediction. Welcome back to another show. This is Post Check with PBX.|bold prediction. Welcome back to another show. This is Post Check with PBX.
pbx_0101|This is PBX reporting from Protocol Pulse.|This is PBX reporting from Protocol Pulse.
pbx_0102|It appears that we've lost sight of the original ethos.|It appears that we've lost sight of the original ethos.
pbx_0103|Or is it more like peer-to-institution?|Or is it more like peer-to-institution?
pbx_0104|Unfortunately, it's more like peer-to-institution.|Unfortunately, it's more like peer-to-institution.
pbx_0105|Node counts are dropping. We're down.|Node counts are dropping. We're down.
pbx_0106|From 200,000 and late.|From 200,000 and late.
pbx_0107|The entire reason is to be your own bank.|The entire reason is to be your own bank.
pbx_0108|How bad is it compared to what gets officially recorded?|How bad is it compared to what gets officially recorded?
pbx_0109|When did you first realize that when you were taught about the Fed in school?|When did you first realize that when you were taught about the Fed in school?
pbx_0110|M2 Money Supply and the S&P 500.|M2 Money Supply and the S&P 500.
pbx_0111|legal but dirty thing the system does that people never notice.|legal but dirty thing the system does that people never notice.
pbx_0112|You say the system is a house built on cards.|You say the system is a house built on cards.
pbx_0113|Your career is built on that foundation.|Your career is built on that foundation.
pbx_0114|How do you hold both at once?|How do you hold both at once?
pbx_0115|You dismantle every traditional asset.|You dismantle every traditional asset.
pbx_0116|business, real estate, bonds.|business, real estate, bonds.
pbx_0117|Bonds are return-free risk.|Bonds are return-free risk.
pbx_0118|Steelman, that from first principles for someone who watched it drop 60%.|Steelman, that from first principles for someone who watched it drop 60 percent.
pbx_0119|Two trillion assets sit inside a $3 trillion world.|Two trillion assets sit inside a $3 trillion world.
pbx_0120|What does the capital transfer actually look like?|What does the capital transfer actually look like?
pbx_0121|What signs would you watch for?|What signs would you watch for?
pbx_0122|No one who held Bitcoin for four years, period.|No one who held Bitcoin for four years, period.
pbx_0123|What's the internal reaction to that?|What's the internal reaction to that?
pbx_0124|Inconvenience or existential threat?|Inconvenience or existential threat?
pbx_0125|You call fiat money a system of deceit.|You call fiat money a system of deceit.
pbx_0126|There's a lot of scripture woven through this book.|There's a lot of scripture woven through this book.
pbx_0127|What's the relationship between your faith|What's the relationship between your faith
pbx_0128|and where you landed on Bitcoin.|and where you landed on Bitcoin.
pbx_0129|You spend a whole chapter on what inflation does to people in Argentina.|You spend a whole chapter on what inflation does to people in Argentina.
pbx_0130|Someone in the comfortable position of the Western world.|Someone in the comfortable position of the Western world.
pbx_0131|to sit with what the dollar exports to the world.|to sit with what the dollar exports to the world.
pbx_0132|Make that cause for someone moving.|Make that cause for someone moving.
pbx_0133|Make that cost for someone making $30,000 a year.|Make that cost for someone making $30,000 a year.
pbx_0134|All right, all right, all right. We are back for another show today. This is PBX reporting live from Protocol Pulse.|All right, all right, all right. We are back for another show today. This is PBX reporting live from Protocol Pulse.
pbx_0135|Let's get right into the juicy.|Let's get right into the juicy.
pbx_0136|Bitcoin back in the hands of Bitcoiners.|Bitcoin back in the hands of Bitcoiners.
pbx_0137|About the dollar, do we still care about the dollar denominated value associated to Bitcoin?|About the dollar, do we still care about the dollar denominated value associated to Bitcoin?
pbx_0138|Or are we going to go ahead and just make that jump?|Or are we going to go ahead and just make that jump?
pbx_0139|Over into a parallel economy that.|Over into a parallel economy that.
pbx_0140|Do we really still care about number grow up?|Do we really still care about number grow up?
pbx_0141|Or have we grown past that phase?|Or have we grown past that phase?
pbx_0142|Do we actually need to experience Venezuelan-like?|Do we actually need to experience Venezuelan-like?
pbx_0143|in America in order for us to finally understand that.|in America in order for us to finally understand that.
pbx_0144|Or can we see the writing on the wall and actually just save ourselves this?|Or can we see the writing on the wall and actually just save ourselves this?
pbx_0145|and learn from other countries.|and learn from other countries.
pbx_0146|Are we capable of having historic|Are we capable of having historic
pbx_0147|Be your own bank.|Be your own bank.
pbx_0148|Stop playing within this clown world.|Stop playing within this clown world.
pbx_0149|The grass is a whole lot more orange.|The grass is a whole lot more orange.
pbx_0150|You poke just a tiny bit through that shallow surface and quickly it's revealed that.|You poke just a tiny bit through that shallow surface and quickly it's revealed that.
pbx_0151|What they are selling and what they are doing is mass market manipulation.|What they are selling and what they are doing is mass market manipulation.
pbx_0152|trying to undermine the proposition of the technology of Bitcoin.|trying to undermine the proposition of the technology of Bitcoin.
pbx_0153|We don't care about the short term price appreciation or depreciation of Bitcoin.|We don't care about the short term price appreciation or depreciation of Bitcoin.
pbx_0154|We are zooming out. We have a low time preference, a long term.|We are zooming out. We have a low time preference, a long term.
pbx_0155|The internet's not going down.|The internet's not going down.
pbx_0156|It removes the incentive for violence.|It removes the incentive for violence.
pbx_0157|You're not going to shake somebody up to try to extract their Bitcoin that they may or may not have.|You're not going to shake somebody up to try to extract their Bitcoin that they may or may not have.
pbx_0158|It completely redefines our relationship.|It completely redefines our relationship.
pbx_0159|There is no trust. Your trust is delegated to a decentralized protocol.|There is no trust. Your trust is delegated to a decentralized protocol.
pbx_0160|That does not have any intrinsic bias.|That does not have any intrinsic bias.
pbx_0161|That's a big deal. That's a real big deal.|That's a big deal. That's a real big deal.
